driver_id,time,latitude,longitude
94,2014-02-01 00:01:13.817046+01,41.928371483,12.481746351
228,2014-02-01 00:01:14.638437+01,41.897221955,12.472774218
291,2014-02-01 00:01:15.295007+01,41.85694829,12.493418449
156,2014-02-01 00:01:15.715234+01,41.881724426,12.493084761
79,2014-02-01 00:01:15.892636+01,41.89981646,12.46032143
297,2014-02-01 00:01:16.022247+01,41.893018176,12.487614794
187,2014-02-01 00:01:16.097658+01,41.923583333,12.470395
89,2014-02-01 00:01:16.427074+01,41.80153917,12.444590346
191,2014-02-01 00:01:16.745436+01,41.851929343,12.578744386
260,2014-02-01 00:01:18.383483+01,41.864648081,12.464924884
351,2014-02-01 00:01:19.494421+01,41.910050823,12.496609213
311,2014-02-01 00:01:19.763187+01,41.904491458,12.488304428
58,2014-02-01 00:01:19.799531+01,41.913128844,12.506782001
362,2014-02-01 00:01:20.007923+01,41.910274875,12.476920956
122,2014-02-01 00:01:20.111283+01,41.918169137,12.496974947
331,2014-02-01 00:01:20.418478+01,41.90756761,12.450720957
331,2014-02-01 00:01:20.419183+01,41.90756761,12.450720957
196,2014-02-01 00:01:20.710638+01,41.892229824,12.469779213
172,2014-02-01 00:01:21.02998+01,41.917391897,12.499114197
352,2014-02-01 00:01:21.525465+01,41.897836095,12.469434813
59,2014-02-01 00:01:21.534098+01,41.90220301,12.483053961
188,2014-02-01 00:01:21.89275+01,41.921618201,12.487517092
318,2014-02-01 00:01:22.367787+01,41.886349806,12.46934936
321,2014-02-01 00:01:22.856927+01,41.89720349,12.47281857
343,2014-02-01 00:01:22.94331+01,41.892145767,12.46971879
361,2014-02-01 00:01:23.026877+01,41.928327447,12.482396085
331,2014-02-01 00:01:23.324238+01,41.90756761,12.450720957
331,2014-02-01 00:01:23.324873+01,41.90756761,12.450720957
298,2014-02-01 00:01:24.140156+01,41.896317923,12.46672444
197,2014-02-01 00:01:24.204667+01,41.885124303,12.470775794
368,2014-02-01 00:01:24.243244+01,41.893658333,12.475888333
331,2014-02-01 00:01:24.287082+01,41.90756761,12.450720957
259,2014-02-01 00:01:24.324066+01,41.86023584,12.599555982
317,2014-02-01 00:01:24.647291+01,41.900390735,12.473077473
295,2014-02-01 00:01:24.772208+01,41.89627705,12.472445924
232,2014-02-01 00:01:24.786861+01,41.907986054,12.479528734
315,2014-02-01 00:01:25.023422+01,41.899763916,12.464058224
135,2014-02-01 00:01:25.172472+01,41.933189952,12.511784705
2,2014-02-01 00:01:25.223723+01,41.909039503,12.507911463
105,2014-02-01 00:01:25.788609+01,41.897143561,12.47295309
132,2014-02-01 00:01:26.034612+01,41.862619693,12.478540069
248,2014-02-01 00:01:26.049411+01,41.895901992,12.476881887
234,2014-02-01 00:01:26.085753+01,41.897718642,12.469862144
357,2014-02-01 00:01:26.351632+01,41.843572415,12.476340329
281,2014-02-01 00:01:26.8651+01,41.896175668,12.476324
341,2014-02-01 00:01:26.938151+01,41.907647028,12.475962866
234,2014-02-01 00:01:26.960918+01,41.897612756,12.470222455
53,2014-02-01 00:01:27.30184+01,41.889666441,12.503322574
224,2014-02-01 00:01:27.448094+01,41.96699608,12.45307136
257,2014-02-01 00:01:27.679569+01,41.921078444,12.491542544
104,2014-02-01 00:01:27.686402+01,41.784955779,12.251541117
178,2014-02-01 00:01:27.971936+01,41.918965611,12.477159429
291,2014-02-01 00:01:28.012956+01,41.856939199,12.49343857
365,2014-02-01 00:01:28.204891+01,41.89412314,12.481901109
174,2014-02-01 00:01:28.342721+01,41.889812822,12.474507041
94,2014-02-01 00:01:28.812875+01,41.928371483,12.481746351
228,2014-02-01 00:01:29.004897+01,41.897221955,12.472774218
61,2014-02-01 00:01:29.149822+01,41.900363333,12.472995
156,2014-02-01 00:01:30.658858+01,41.880913895,12.494385095
79,2014-02-01 00:01:31.039516+01,41.8990679,12.46022568
297,2014-02-01 00:01:31.046526+01,41.893018176,12.487614794
187,2014-02-01 00:01:31.050085+01,41.923135,12.46903
89,2014-02-01 00:01:31.44984+01,41.801468909,12.447621636
343,2014-02-01 00:01:31.657177+01,41.892209411,12.469790559
191,2014-02-01 00:01:31.721915+01,41.851929343,12.578744386
260,2014-02-01 00:01:33.012753+01,41.865202768,12.465245199
37,2014-02-01 00:01:33.57395+01,41.896383401,12.474745551
59,2014-02-01 00:01:33.712024+01,41.902706371,12.485012588
122,2014-02-01 00:01:33.797381+01,41.917170513,12.496291811
351,2014-02-01 00:01:34.041308+01,41.910050823,12.496609213
58,2014-02-01 00:01:35.093502+01,41.913128844,12.506782001
196,2014-02-01 00:01:35.127551+01,41.892229824,12.469779213
362,2014-02-01 00:01:35.719692+01,41.910274875,12.476920956
311,2014-02-01 00:01:35.871031+01,41.904375424,12.488365079
361,2014-02-01 00:01:36.241525+01,41.928115049,12.482310925
105,2014-02-01 00:01:36.360776+01,41.897143561,12.47295309
188,2014-02-01 00:01:36.861963+01,41.921484946,12.489503949
172,2014-02-01 00:01:36.978574+01,41.916706855,12.498241825
352,2014-02-01 00:01:37.039765+01,41.897851601,12.469336409
321,2014-02-01 00:01:37.92037+01,41.89720386,12.4728204
318,2014-02-01 00:01:37.947729+01,41.886624658,12.469319403
295,2014-02-01 00:01:38.748799+01,41.896821121,12.47208276
317,2014-02-01 00:01:38.901386+01,41.900390735,12.473077473
368,2014-02-01 00:01:39.256217+01,41.893658333,12.475888333
197,2014-02-01 00:01:39.269786+01,41.885124303,12.470775794
331,2014-02-01 00:01:39.324611+01,41.907625319,12.450893875
259,2014-02-01 00:01:39.333627+01,41.863059887,12.600613946
135,2014-02-01 00:01:39.365839+01,41.933189952,12.511784705
232,2014-02-01 00:01:39.964195+01,41.908311703,12.479886775
2,2014-02-01 00:01:40.190444+01,41.909150043,12.508433655
298,2014-02-01 00:01:40.937884+01,41.897082478,12.466070652
234,2014-02-01 00:01:40.949758+01,41.897114403,12.471779714
132,2014-02-01 00:01:41.0281+01,41.862721344,12.478574696
248,2014-02-01 00:01:41.037374+01,41.895901992,12.476881887
104,2014-02-01 00:01:41.065934+01,41.783761575,12.251018113
357,2014-02-01 00:01:41.742756+01,41.845118248,12.477947772
281,2014-02-01 00:01:41.903455+01,41.896888152,12.474265067
341,2014-02-01 00:01:42.082317+01,41.906608503,12.476058177
224,2014-02-01 00:01:42.3687+01,41.96636523,12.45273171
178,2014-02-01 00:01:42.45332+01,41.919392216,12.475299709
37,2014-02-01 00:01:42.57139+01,41.895457077,12.475052553
53,2014-02-01 00:01:42.927039+01,41.889416788,12.503196924
365,2014-02-01 00:01:43.419613+01,41.895127407,12.482108314
61,2014-02-01 00:01:43.471437+01,41.900355,12.472985
174,2014-02-01 00:01:44.116536+01,41.889812822,12.474507041
291,2014-02-01 00:01:44.864758+01,41.856939199,12.49343857
